Column1;Column2;Column3;Column4
BEVERARA;Degrado urbano;Piazze/strade;Dissestate
BEVERARA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BEVERARA;Degrado ambientale;Neve;
CASERME ROSSE-MANIFATTURA;Degrado sociale;Segnalazioni;Nomadi
BEVERARA;Degrado sociale;Segnalazioni;Bande giovanili
BEVERARA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BEVERARA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
EX MERCATO ORTOFRUTTICOLO;Degrado urbano;Piste ciclabili;Dissestate
LAZZARETTO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
SAN SAVINO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
SAN SAVINO;Degrado urbano;Piazze/strade;Dissestate
ARCOVEGGIO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CROCE COPERTA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
SAN SAVINO;Degrado urbano;Edifici pubblici;Danneggiati
ARCOVEGGIO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
PIAZZA DELL'UNITA';Degrado sociale;Segnalazioni;Bivacco
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
BEVERARA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
EX MERCATO ORTOFRUTTICOLO;Degrado urbano;Piste ciclabili;Carenti
CROCE COPERTA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Carenti
VIA FERRARESE;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da piccioni
EX MERCATO ORTOFRUTTICOLO;Degrado urbano;Cantieri edili;Non/mal segnalati
PIAZZA DELL'UNITA';Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
VIA FERRARESE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
BEVERARA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
BEVERARA;Degrado urbano;Piazze/strade;Imbrattate
ARCOVEGGIO;Degrado ambientale;Inquinamento atmosferico;Amianto
VIA FERRARESE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
LA DOZZA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
VIA FERRARESE;Degrado sociale;Segnalazioni;Bivacco
CASERME ROSSE-MANIFATTURA;Microcriminalita;Occupazioni abusive;Edifici privati
EX MERCATO ORTOFRUTTICOLO;Degrado sociale;Segnalazioni;Senza fissa dimora
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CASERME ROSSE-MANIFATTURA;Microcriminalita;Occupazioni abusive;
ARCOVEGGIO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
EX MERCATO ORTOFRUTTICOLO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
LAGHETTI DEL ROSARIO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
LAGHETTI DEL ROSARIO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
SAVENA ABBANDONATO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
MARCONI-2;Degrado urbano;Edifici privati;Imbrattati
MARCONI-1;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MALPIGHI-2;Degrado sociale;Segnalazioni;Adulti in difficolta
XXI APRILE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
MALPIGHI-2;Degrado urbano;Edifici pubblici;Danneggiati
SAN GIUSEPPE;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
MARCONI-2;Degrado sociale;Segnalazioni;Senza fissa dimora
VIA VITTORIO VENETO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
ZANARDI;Degrado urbano;Illuminazione pubblica/lampioni;Carente
VIA VITTORIO VENETO;Degrado urbano;Cantieri stradali;Abbandonati
MALPIGHI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SAN GIUSEPPE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
XXI APRILE;Degrado urbano;Piste ciclabili;Imbrattate/sporche
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
MALPIGHI-2;Degrado urbano;Piazze/strade;Dissestate
MARCONI-2;Degrado ambientale;Inquinamento acustico;Rumore da sorgenti fisse
XXI APRILE;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da piccioni
XXI APRILE;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
SAN GIUSEPPE;Degrado urbano;Cantieri stradali;Abbandonati
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MARCONI-2;Degrado ambientale;Neve;
MARCONI-2;Degrado sociale;Segnalazioni;Punkabbestia
MARCONI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
ZANARDI;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
SAN GIUSEPPE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MALPIGHI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VIA VITTORIO VENETO;Degrado ambientale;Inquinamento atmosferico;Emissioni da impianti termici/condizionatori
MARCONI-2;Degrado urbano;Cantieri edili;Abusivi
MARCONI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
XXI APRILE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
VIA VITTORIO VENETO;Degrado sociale;Conflitti;Fra adulti/fra vicini
MARCONI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
ZANARDI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
ZANARDI;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
ZANARDI;Degrado urbano;Piazze/strade;Dissestate
XXI APRILE;Degrado urbano;Edifici pubblici;Danneggiati
MARCONI-1;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
ZANARDI;Degrado sociale;Segnalazioni;Anziani non autosufficienti
VELODROMO;Degrado sociale;Segnalazioni;Mendicanti
SAN GIUSEPPE;Degrado urbano;Cantieri edili;Abusivi
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
STADIO-MELONCELLO;Degrado ambientale;Inquinamento atmosferico;Emissioni da impianti termici/condizionatori
MARCONI-1;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
XXI APRILE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
SAN GIUSEPPE;Microcriminalita;Vandalismi;
STADIO-MELONCELLO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
ZANARDI;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
ZANARDI;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
ZANARDI;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
SAN GIUSEPPE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MARCONI-2;Degrado sociale;Segnalazioni;Punkabbestia
MALPIGHI-2;Degrado urbano;Cantieri stradali;Abusivi
VIA VITTORIO VENETO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VIA VITTORIO VENETO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
SAN GIUSEPPE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
PRATI DI CAPRARA-OSPEDALE MAGGIORE;Microcriminalita;Comportamenti sanzionabili;Accattonaggio molesto
VIA VITTORIO VENETO;Degrado urbano;Piazze/strade;Dissestate
XXI APRILE;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
XXI APRILE;Degrado urbano;Cantieri edili;Abusivi
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
SAN GIUSEPPE;Microcriminalita;Furti/rapine;
ZANARDI;Degrado urbano;Piazze/strade;Dissestate
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
MALPIGHI-2;Degrado urbano;Piazze/strade;Imbrattate
MALPIGHI-2;Degrado urbano;Piazze/strade;Imbrattate
STADIO-MELONCELLO;Degrado urbano;Piazze/strade;Dissestate
VIA VITTORIO VENETO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MALPIGHI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
VELODROMO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Carenti
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
SAN GIUSEPPE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
XXI APRILE;Degrado sociale;Segnalazioni;Mendicanti
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
MARCONI-2;Degrado sociale;Segnalazioni;Bivacco
MALPIGHI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
STADIO-MELONCELLO;Degrado urbano;Cantieri edili;Non/mal segnalati
VIA VITTORIO VENETO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MALPIGHI-2;Degrado urbano;Piazze/strade;Dissestate
MALPIGHI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MALPIGHI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
VELODROMO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MARCONI-2;Degrado sociale;Segnalazioni;Bivacco
MARCONI-2;Degrado ambientale;Inquinamento acustico;Rumore da sorgenti fisse
MARCONI-2;Degrado sociale;Segnalazioni;
MARCONI-2;Degrado sociale;Segnalazioni;Bivacco
MALPIGHI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MARCONI-2;Degrado urbano;Piazze/strade;Dissestate
MARCONI-2;Degrado urbano;Piazze/strade;Dissestate
VIA VITTORIO VENETO;Degrado urbano;Cantieri edili;Abusivi
MARCONI-1;Degrado urbano;Cantieri edili;Non/mal segnalati
SAN GIUSEPPE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MARCONI-2;Degrado sociale;Segnalazioni;Bivacco
MALPIGHI-1;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
VIA VITTORIO VENETO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
SAN GIUSEPPE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Non/mal segnalati
MALPIGHI-1;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
SAN GIUSEPPE;Degrado ambientale;Rifiuti/rottami;
MALPIGHI-2;Degrado urbano;Piste ciclabili;Carenti
RAVONE;Degrado urbano;Cantieri edili;Abbandonati
VIA VITTORIO VENETO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
PRATI DI CAPRARA-OSPEDALE MAGGIORE;Degrado sociale;Segnalazioni;Mendicanti
MALPIGHI-2;Degrado sociale;Segnalazioni;Mendicanti
MALPIGHI-1;Degrado urbano;Cantieri edili;Abbandonati
MARCONI-1;Microcriminalita;Vandalismi;
MARCONI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MARCONI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
ZANARDI;Degrado urbano;Cantieri edili;Non/mal segnalati
MALPIGHI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MARCONI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VELODROMO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MALPIGHI-1;Degrado urbano;Piste ciclabili;
MARCONI-2;Microcriminalita;Comportamenti sanzionabili;
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
MARCONI-2;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
MALPIGHI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;
VIA VITTORIO VENETO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MALPIGHI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MALPIGHI-1;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MALPIGHI-2;Degrado ambientale;Rifiuti/rottami;
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
ZANARDI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
XXI APRILE;Degrado urbano;Cantieri edili;Abbandonati
MARCONI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VELODROMO;Degrado urbano;Edifici privati;Abusivi
VELODROMO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da piccioni
MALPIGHI-1;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
MARCONI-2;Degrado sociale;Segnalazioni;Bivacco
MALPIGHI-1;Degrado urbano;Piazze/strade;Imbrattate
VIA VITTORIO VENETO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Carenti
STADIO-MELONCELLO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
STADIO-MELONCELLO;Degrado urbano;Piazze/strade;Dissestate
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MARCONI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MARCONI-2;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
SAN GIUSEPPE;Degrado urbano;Cantieri edili;Abusivi
ZANARDI;Degrado sociale;Conflitti;Fra adulti/fra vicini
MALPIGHI-2;Degrado ambientale;Inquinamento acustico;Privati
XXI APRILE;Degrado ambientale;Inquinamento acustico;Privati
VELODROMO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
MARCONI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SAN GIUSEPPE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MALPIGHI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MARCONI-2;Degrado sociale;Segnalazioni;Mendicanti
MARCONI-2;Degrado urbano;Piazze/strade;Dissestate
MARCONI-1;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
MALPIGHI-1;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MARCONI-1;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
MARCONI-1;Degrado sociale;Segnalazioni;Mendicanti
MARCONI-2;Degrado ambientale;Scarichi idrici;Maleodoranti
STADIO-MELONCELLO;Degrado urbano;Piazze/strade;Dissestate
ZANARDI;Degrado urbano;Piazze/strade;Dissestate
ZANARDI;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
XXI APRILE;Microcriminalita;Vandalismi;
MARCONI-1;Degrado sociale;Segnalazioni;Bivacco
MALPIGHI-1;Degrado sociale;Segnalazioni;Bande giovanili
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
XXI APRILE;Degrado urbano;Piazze/strade;
VELODROMO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
ZANARDI;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
MARCONI-2;Degrado urbano;Edifici pubblici;Imbrattati
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
RAVONE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VIA VITTORIO VENETO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
SAN LUCA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MARCONI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da piccioni
VIA VITTORIO VENETO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Carenti
XXI APRILE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VELODROMO;Degrado ambientale;Rifiuti/rottami;Siringhe/Preservativi
MALPIGHI-2;Degrado ambientale;Rifiuti/rottami;
MALPIGHI-2;Degrado urbano;Piazze/strade;Dissestate
ZANARDI;Degrado urbano;Piazze/strade;Dissestate
MARCONI-2;Degrado sociale;Segnalazioni;Bivacco
MARCONI-2;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
RAVONE;Degrado ambientale;Inquinamento atmosferico;Emissioni da impianti termici/condizionatori
STADIO-MELONCELLO;Degrado urbano;Edifici privati;Abbandonati
MALPIGHI-2;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
;Degrado ambientale;Inquinamento acustico;Piazze/strade
MARCONI-2;Degrado urbano;;
MARCONI-2;Degrado urbano;Illuminazione pubblica/lampioni;Carente
MARCONI-2;Degrado urbano;Piazze/strade;Dissestate
VELODROMO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
MALPIGHI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
XXI APRILE;Degrado urbano;Edifici privati;
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
SAN GIUSEPPE;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
MARCONI-2;Degrado sociale;Segnalazioni;Bivacco
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
RAVONE;Degrado urbano;Piazze/strade;Dissestate
MALPIGHI-2;Degrado urbano;Piazze/strade;Dissestate
ZANARDI;Degrado ambientale;Inquinamento acustico;Privati
ZANARDI;Degrado ambientale;Inquinamento acustico;Piazze/strade
SAN GIUSEPPE;Degrado urbano;Illuminazione pubblica/lampioni;Carente
STADIO-MELONCELLO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
MARCONI-2;Degrado ambientale;Inquinamento acustico;Privati
MARCONI-2;Degrado urbano;Cantieri edili;Non/mal segnalati
SAN GIUSEPPE;Degrado urbano;Edifici pubblici;
MARCONI-2;Degrado sociale;Segnalazioni;Adulti in difficolta
MARCONI-2;Degrado ambientale;Inquinamento acustico;Privati
MALPIGHI-1;Microcriminalita;Comportamenti sanzionabili;
MARCONI-2;Degrado sociale;Segnalazioni;Bivacco
ZANARDI;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
ZANARDI;Degrado ambientale;Inquinamento acustico;Rumore da sorgenti fisse
MARCONI-2;Degrado sociale;Segnalazioni;Mendicanti
XXI APRILE;Degrado urbano;Piste ciclabili;
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
ZANARDI;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
ZANARDI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
VIA VITTORIO VENETO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SAN GIUSEPPE;Degrado urbano;Piazze/strade;Dissestate
STADIO-MELONCELLO;Degrado urbano;Piazze/strade;Dissestate
SAN GIUSEPPE;Degrado urbano;Piazze/strade;Dissestate
MALPIGHI-2;Degrado urbano;Piazze/strade;Dissestate
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
PRATI DI CAPRARA-OSPEDALE MAGGIORE;Degrado sociale;Segnalazioni;
MALPIGHI-1;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
RAVONE;Degrado urbano;Edifici privati;Danneggiati
MARCONI-2;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
XXI APRILE;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
PRATI DI CAPRARA-OSPEDALE MAGGIORE;Microcriminalita;Comportamenti sanzionabili;Accattonaggio molesto
VELODROMO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MALPIGHI-1;Degrado urbano;Piazze/strade;Imbrattate
SAN GIUSEPPE;Degrado urbano;Cantieri edili;Non/mal segnalati
MARCONI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VELODROMO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Carenti
XXI APRILE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
XXI APRILE;Degrado sociale;Conflitti;
MALPIGHI-2;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
MALPIGHI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
MALPIGHI-2;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
ZANARDI;Degrado urbano;Piazze/strade;Dissestate
STADIO-MELONCELLO;Microcriminalita;;
MALPIGHI-2;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
MARCONI-1;Degrado sociale;Segnalazioni;Bivacco
MALPIGHI-1;Degrado sociale;Segnalazioni;Bivacco
MARCONI-2;Degrado sociale;Segnalazioni;Nomadi
MARCONI-2;Degrado sociale;Segnalazioni;Tossicodipendenti
SAN GIUSEPPE;Degrado ambientale;;
PRATI DI CAPRARA-OSPEDALE MAGGIORE;Microcriminalita;Comportamenti sanzionabili;
MARCONI-1;Degrado sociale;Segnalazioni;Senza fissa dimora
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
XXI APRILE;Degrado urbano;Cantieri edili;Abusivi
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SAN GIUSEPPE;Degrado sociale;Segnalazioni;Adulti in difficolta
ZANARDI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
ZANARDI;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MARCONI-1;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da piccioni
MALPIGHI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
STADIO-MELONCELLO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
PRATI DI CAPRARA-OSPEDALE MAGGIORE;Degrado urbano;Piste ciclabili;Imbrattate/sporche
MARCONI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MARCONI-2;Microcriminalita;Comportamenti sanzionabili;
MARCONI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
RAVONE;Degrado urbano;Piazze/strade;Dissestate
MALPIGHI-1;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
ZANARDI;Degrado ambientale;Inquinamento acustico;Privati
MARCONI-2;Degrado sociale;Segnalazioni;Bivacco
MALPIGHI-2;Degrado urbano;Cantieri edili;Abusivi
XXI APRILE;Microcriminalita;Occupazioni abusive;Terreni privati
ZANARDI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
MALPIGHI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
MALPIGHI-2;Degrado ambientale;Scarichi idrici;Perdite
MALPIGHI-2;Degrado urbano;Edifici privati;Imbrattati
MARCONI-2;Microcriminalita;Spaccio;
SAN GIUSEPPE;Microcriminalita;Comportamenti sanzionabili;Maniaci
MARCONI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MALPIGHI-1;Microcriminalita;Occupazioni abusive;Edifici privati
ZANARDI;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MALPIGHI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
ZANARDI;Degrado urbano;Piste ciclabili;Carenti
VIA VITTORIO VENETO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
MALPIGHI-2;Degrado ambientale;Inquinamento acustico;Privati
MALPIGHI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MALPIGHI-1;Microcriminalita;Spaccio;
MALPIGHI-1;Degrado urbano;Edifici privati;Imbrattati
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
MARCONI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
ZANARDI;Degrado sociale;Segnalazioni;Bande giovanili
XXI APRILE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MARCONI-2;Degrado urbano;Edifici privati;Abusivi
MALPIGHI-1;Degrado urbano;Piste ciclabili;Non/mal segnalate
MARCONI-1;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
GALVANI-1;Degrado urbano;Edifici pubblici;Imbrattati
VIA VITTORIO VENETO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
ZANARDI;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da piccioni
MALPIGHI-2;Degrado urbano;Cantieri edili;Non/mal segnalati
STADIO-MELONCELLO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VELODROMO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
MALPIGHI-2;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
MALPIGHI-1;Degrado sociale;Segnalazioni;Bande giovanili
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VELODROMO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VELODROMO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SAN GIUSEPPE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MALPIGHI-2;Degrado ambientale;Inquinamento acustico;Privati
